"iso3c","year","gdp_cap","unemp_nat","unemp_ilo","fertility","fem_labour","pop","pop65","pop_dens"
"HRV",2011,13969.8048908879,13.68,13.68,1.41,45.0887597308366,4280622,17.8546562460078,76.4943173695497
"HRV",2012,13677.4207155701,15.93,15.94,1.52,45.4173449915367,4267558,18.2012152114189,76.2608649035025
"HRV",2013,13654.2454415363,17.25,17.25,1.46,45.9373800509456,4255689,18.5614359825263,76.0487669764117
"HRV",2014,13663.1654484475,17.29,17.29,1.46,46.4430656581972,4238389,18.9064676588857,74.8964304647464
"HRV",2015,14111.2512495402,16.18,16.18,1.41,46.5000198683391,4203604,19.2458835297247,74.2817458915003
"HRV",2016,14707.2369456328,13.1,13.1,1.43,46.3002947819762,4174349,19.6156823572293,73.7647817635625
"HRV",2017,15396.801079964,11.21,11.21,1.42,46.1662124203605,4124531,20.0223913942074,72.8844495493904
"HRV",2018,15971.1476683104,8.43,8.43,1.47,46.4536851576886,4087843,20.445433012423,72.2361371267008
"HRV",2019,16519.0374997118,6.62,6.62,1.47,46.1608413705548,4065253,20.8601352345977,NA
"HRV",2020,15204.3467086723,7.51,7.2,NA,NA,4047200,21.2522352382927,NA
"HTI",1986,1541.79586314214,NA,NA,5.921,NA,6478537,4.10859482096355,235.070283018868
"HTI",1987,1497.15871962273,NA,NA,5.799,NA,6618742,4.10500844268943,240.157547169811
"HTI",1988,1469.19829054055,NA,NA,5.673,NA,6758222,4.09690535515031,245.218505079826
"HTI",1989,1397.54012725081,NA,NA,5.549,NA,6897755,4.08066102666737,250.281386066763
"HTI",1990,1383.92738336639,11.25,NA,5.43,44.2134188892545,7037915,4.05587335002672,255.367017416546
"HTI",1991,1382.31862069588,NA,7.02,5.317,44.4777651482542,7178611,4.06544055134931,260.47209724238
"HTI",1992,1283.72536211222,NA,7.07,5.208,44.7678729228183,7319491,4.06123757478831,265.58385341074
"HTI",1993,1191.09048565702,NA,7.15,5.099,45.056981478454,7460684,4.04926408271408,270.706966618287
"HTI",1994,1029.20911963897,NA,7.18,4.991,45.3558278618983,7602318,4.03705710888255,275.846081277213
"HTI",1995,1110.31038465673,NA,7.18,4.884,45.6629112839191,7744509,4.0282378352749,281.005406386067
"HTI",1996,1135.35079468855,NA,7.18,4.777,45.9216997319342,7887312,4.04821470048574,286.186937590711
"HTI",1997,1145.2358329081,NA,7.17,4.669,46.1841980831051,8030721,4.06725369536951,291.390457184325
"HTI",1998,1149.61500927807,NA,7.17,4.561,46.4472924117429,8174680,4.08554218636081,296.613933236575
"HTI",1999,1160.27834188759,7.2,7.2,4.452,46.7107806331599,8319070,4.10243612947958,301.853047895501
"HTI",2000,1150.35992863279,NA,8.22,4.344,46.9931831987221,8463802,4.11812369045321,307.104571843251
"HTI",2001,1127.20277957637,NA,9.31,4.237,47.0618650195622,8608810,4.15750406646951,312.36611030479
"HTI",2002,1118.73664613436,NA,10.54,4.132,47.1458644121529,8754148,4.19163482462603,317.639622641509
"HTI",2003,1137.355941077,NA,11.8,4.029,47.2189584216962,8900108,4.22109674224031,322.935703918723
"HTI",2004,1105.08114995247,NA,13.06,3.931,47.2942284879956,9047082,4.24705128518305,328.268577648766
"HTI",2005,1126.60299630875,NA,14.33,3.836,47.3710144270785,9195289,4.27005657680325,333.646190130624
"HTI",2006,1127.91981304059,NA,15.54,3.746,47.4297823012049,9344784,4.32749389097769,339.07053701016
"HTI",2007,1171.86664910111,16.8,16.8,3.66,47.548364773652,9495336,4.38206031429351,344.533236574746
"HTI",2008,1182.08175102564,NA,16.06,3.579,47.5256582052,9646570,4.4293417978185,350.020682148041
"HTI",2009,1237.27684222037,NA,15.9,3.501,47.6380671981494,9798046,4.46261428043918,355.516908563135
"HTI",2010,1172.09901454836,NA,15.34,3.427,47.4019097677989,9949318,4.47982284622007,361.005732946299
"HTI",2011,1225.63107621733,NA,14.7,3.356,47.640180564642,10100320,4.51765884645239,366.484760522496
"HTI",2012,1214.30482341773,14.1,14.1,3.288,47.7352326969654,10250922,4.54018318337946,371.949274310595
"HTI",2013,1233.74316635214,NA,14.12,3.223,47.913957501312,10400672,4.55891564730174,377.382873730044
"HTI",2014,1257.77391435398,NA,14.02,3.159,48.01754035273,10549007,4.58874383366248,382.765130624093
"HTI",2015,1260.60043929765,NA,13.95,3.098,48.0481830850378,10695540,4.63761443786579,388.082002902758
"HTI",2016,1265.22879199355,NA,13.86,3.041,48.0632842674093,10839976,4.72968098620199,393.322786647315
"HTI",2017,1277.37428820752,NA,13.72,2.986,48.0785456885666,10982367,4.83543345759921,398.489368650218
"HTI",2018,1282.23781339144,NA,13.58,2.935,48.1198508941257,11123183,4.94940384843253,403.598802612482
"HTI",2019,1245.01227517149,NA,13.48,2.887,48.0373290566278,11263079,5.0636695460752,NA
"HTI",2020,1188.29576359864,NA,14.5,NA,NA,11402533,5.17466828408577,NA
"HUN",1986,NA,NA,NA,1.84,NA,10630564,12.3175316663452,118.27507788162
"HUN",1987,NA,NA,NA,1.82,NA,10612741,12.6089259412435,118.076780151313
"HUN",1988,NA,NA,NA,1.81,NA,10596487,12.9392921184953,117.90905752754
"HUN",1989,NA,NA,NA,1.82,NA,10481719,13.2362631414702,116.632012907533
"HUN",1990,NA,1.7,NA,1.87,45.4535466584277,10373988,13.4572184987054,115.433270279292
"HUN",1991,8869.92277497549,8.5,9.95,1.87,45.4269452070216,10373400,13.6936436371188,115.426727495271
"HUN",1992,8601.49801839919,9.94,9.94,1.77,45.4550692541323,10369341,13.8833274976133,115.381562256593
"HUN",1993,8561.70187861927,12.1,12.1,1.68,45.2582666442279,10357523,14.0344602496017,115.262886712664
"HUN",1994,8826.10164276919,10.85,10.85,1.64,44.855691323858,10343355,14.1565350475801,115.105219229913
"HUN",1995,8970.04808753153,10.17,10.17,1.57,43.5096112470046,10328965,14.2604206544557,114.945081237481
"HUN",1996,8992.87441130256,10.02,10.02,1.46,43.7028874569615,10311238,14.4757590477305,114.747807700868
"HUN",1997,9294.23728396786,8.99,8.99,1.37,43.4303677869214,10290486,14.6770522909294,114.593385300668
"HUN",1998,9679.20772402778,8.93,8.93,1.32,44.3236579543007,10266570,14.8552249396426,114.32706013363
"HUN",1999,10004.7585268456,6.93,6.93,1.28,44.5351097823871,10237530,14.9976642571635,114.003674832962
"HUN",2000,10480.0790292785,6.56,6.56,1.32,44.6048008868116,10210971,15.0971962545498,113.936297701406
"HUN",2001,10932.0943672052,5.67,5.67,1.31,44.5717037096332,10187576,15.2625965951269,113.675251060031
"HUN",2002,11483.0676330881,5.61,5.61,1.3,44.8671823498344,10158608,15.3663372997486,113.352019638474
"HUN",2003,11986.3801415504,5.79,5.79,1.27,45.1766833749976,10129552,15.4372271440999,113.027806293238
"HUN",2004,12592.3191951254,5.83,5.83,1.28,45.2866712089384,10107146,15.5140056631681,112.777795135015
"HUN",2005,13152.8219199123,7.19,7.19,1.31,45.567738277721,10087065,15.6187372576291,112.566287244727
"HUN",2006,13704.3372223854,7.49,7.49,1.34,45.5029399958372,10071370,15.720132745233,112.391139381765
"HUN",2007,13758.8245408056,7.41,7.41,1.32,45.3472357466638,10055780,15.8380227588397,112.217163263029
"HUN",2008,13928.800324784,7.82,7.82,1.35,45.4476254518893,10038188,15.9524140983862,112.020845887736
"HUN",2009,13015.7797876943,10.03,10.03,1.32,45.584903817184,10022650,16.0386041824243,110.710814094775
"HUN",2010,13191.6212644696,11.17,11.17,1.25,46.1503145070978,10000023,16.0923990946243,110.460874848117
"HUN",2011,13485.3151480551,11.03,11.03,1.23,46.0300232819432,9971727,16.3513270437201,110.148315475533
"HUN",2012,13367.9931241148,11,11,1.34,46.206324257573,9920362,16.5823563986627,109.580934496852
"HUN",2013,13654.2861901501,10.18,10.18,1.35,45.8637455219193,9893082,16.8192490423201,109.27959792334
"HUN",2014,14270.1081386959,7.73,7.73,1.44,45.8610296594492,9866468,17.1076648617016,108.113828621521
"HUN",2015,14850.4252030047,6.81,6.81,1.45,45.7955015539889,9843028,17.4688019122261,107.85698005698
"HUN",2016,15213.0528173847,5.11,5.12,1.53,45.6699433232733,9814023,18.0023428748664,107.539151873767
"HUN",2017,15912.0146344436,4.16,4.16,1.54,45.5299714727094,9787966,18.5778610772262,107.253626999781
"HUN",2018,16792.4943545516,3.71,3.71,1.55,45.453732842062,9775564,19.1577253832321,107.117729563883
"HUN",2019,17579.8379844128,3.42,3.42,1.49,45.2305964927643,9771141,19.6944576067002,NA
"HUN",2020,16745.0857201244,4.25,4.35,NA,NA,9749763,20.1631079450426,NA
"IDN",1986,1438.62753756627,2.59,NA,3.606,NA,168374287,3.64638515143348,92.9438481538113
"IDN",1987,1480.23166042384,2.55,NA,3.472,NA,171702756,3.67326063355195,94.7811875886662
"IDN",1988,1536.50577473554,2.74,NA,3.346,NA,174975953,3.70177607375697,96.5880164719001
"IDN",1989,1621.12168496765,NA,NA,3.229,NA,178209147,3.73472967016564,98.3727634041191
"IDN",1990,1707.81839241188,2.54,NA,3.122,38.0065495690601,181413398,3.77396208026571,100.141533586889
"IDN",1991,1794.42287001669,2.62,2.62,3.022,37.6599113110103,184591897,3.84729009484235,101.896088475742
"IDN",1992,1878.97304404285,2.73,2.73,2.929,37.9839469350962,187739786,3.92029476373218,103.633746418852
"IDN",1993,1968.41637808895,2.78,2.78,2.842,37.726858735807,190851184,3.99368146410416,105.351261060848
"IDN",1994,2083.36246003311,4.37,4.37,2.761,38.1123350038716,193917458,4.06838348575333,107.043866922062
"IDN",1995,2220.07698334022,NA,4.61,2.688,38.0819127273819,196934257,4.14518987199078,108.709162218407
"IDN",1996,2358.11977188317,4.86,4.86,2.627,38.0360705739557,199901231,4.25708940617413,110.346953747302
"IDN",1997,2433.34075954882,4.68,4.68,2.579,37.6718244763843,202826444,4.36809063843676,111.961692896217
