"COUNTRY_ALPHA","year","wave","liberal","confidence_gov","freedom_gov","democratic","reason_neediness","system_rating","poverty_compare"
"GHA",2007,5,6.25423728813559,2.02151238591917,NA,8.37027379400261,NA,NA,NA
"GHA",2012,6,5.99291237113402,2.30476804123711,NA,7.3479381443299,NA,NA,NA
"GRC",2017,7,7.23833333333333,3.27416666666667,NA,5.29166666666667,NA,NA,NA
"GTM",2004,5,5.806,2.777,NA,NA,NA,NA,NA
"GTM",2020,7,5.13383208645054,3.32003325020781,NA,4.77805486284289,NA,NA,NA
"HKG",2005,5,6.63658146964856,2.28594249201278,NA,NA,NA,NA,NA
"HKG",2014,6,4.866,2.289,NA,5.774,NA,NA,NA
"HKG",2018,7,5.3455421686747,2.48819277108434,NA,5.70216867469879,NA,NA,NA
"HRV",1996,3,7.4757525083612,2.36538461538462,1.39715719063545,NA,1.28344481605351,3.69063545150502,1.20735785953177
"HTI",2016,6,7.22745490981964,3.15380761523046,NA,3.27605210420842,NA,NA,NA
"HUN",1982,1,NA,NA,NA,NA,NA,NA,NA
"HUN",1998,3,7.46307692307692,2.56153846153846,1.08461538461538,NA,1.46307692307692,4.60153846153846,1.05076923076923
"HUN",2009,5,6.15789473684211,3.16782522343595,NA,4.58093346573982,NA,NA,NA
"IDN",2001,4,5.295,2.313,NA,NA,NA,NA,NA
"IDN",2006,5,5.1697270471464,2.23870967741935,NA,5.79454094292804,NA,NA,NA
"IDN",2018,7,5.85125,1.8415625,NA,7.1121875,NA,NA,NA
"IND",1990,2,4.1168,2.5848,NA,NA,NA,NA,NA
"IND",1995,3,5.68480392156863,1.84509803921569,0.911274509803922,NA,1.08480392156863,4.54656862745098,1.31862745098039
"IND",2001,4,5.31918081918082,1.95304695304695,NA,NA,NA,NA,NA
"IND",2006,5,5.1904047976012,1.67716141929035,NA,4.5792103948026,NA,NA,NA
"IND",2012,6,6.89038744482589,2.1358509073075,NA,6.50882785679255,NA,NA,NA
"IRN",2000,4,4.13586097946288,1.54660347551343,NA,NA,NA,NA,NA
"IRN",2007,5,6.99925009373828,2.36070491188601,NA,5.09111361079865,NA,NA,NA
"IRN",2020,7,6.83255503669113,2.55770513675784,NA,6.25416944629753,NA,NA,NA
"IRQ",2004,4,7.42451612903226,2.47225806451613,NA,NA,NA,NA,NA
"IRQ",2006,5,7.34542761940022,2.0414661236579,NA,NA,NA,NA,NA
"IRQ",2013,6,8.10333333333333,2.58083333333333,NA,4.47,NA,NA,NA
"IRQ",2018,7,3.10583333333333,3.125,NA,4.66916666666667,NA,NA,NA
"ISR",2001,4,7.40033361134279,NA,NA,NA,NA,NA,NA
"ITA",2005,5,6.02075098814229,2.81521739130435,NA,5.50592885375494,NA,NA,NA
"JOR",2001,4,6.51921504497138,1.54292722812756,NA,NA,NA,NA,NA
"JOR",2007,5,7.2475,1.41333333333333,NA,6.86166666666667,NA,NA,NA
"JOR",2014,6,7.2525,2.26,NA,6.4675,NA,NA,NA
"JOR",2018,7,7.99750623441397,2.2402327514547,NA,6.46134663341646,NA,NA,NA
"JPN",1981,1,NA,NA,NA,NA,NA,NA,NA
"JPN",1990,2,5.90009891196835,NA,NA,NA,NA,NA,NA
"JPN",1995,3,6.48576850094877,2.53984819734345,0.883301707779886,NA,0.614800759013283,4.07779886148008,1.70683111954459
"JPN",2000,4,6.3913362701909,2.65124816446402,NA,NA,NA,3.75256975036711,NA
"JPN",2005,5,6.70346715328467,2.56021897810219,NA,6.06569343065693,NA,NA,NA
"JPN",2010,6,6.84650020466639,2.43389275480966,NA,5.52885796152272,NA,NA,NA
"JPN",2019,7,6.82039911308204,2.33924611973392,NA,6.15373244641537,NA,NA,NA
"KAZ",2011,6,6.97533333333333,2.05,NA,6.84133333333333,NA,NA,NA
"KAZ",2018,7,5.9294670846395,2.03918495297806,NA,6.24216300940439,NA,NA,NA
"KGZ",2003,4,6.52732502396932,2.8398849472675,NA,NA,NA,7.26749760306807,NA
"KGZ",2011,6,5.84533333333333,2.41533333333333,NA,5.966,NA,NA,NA
"KGZ",2020,7,5.84583333333333,2.44583333333333,NA,6.07083333333333,NA,NA,NA
"KOR",1982,1,NA,NA,NA,NA,NA,NA,NA
"KOR",1990,2,4.13189448441247,NA,NA,NA,NA,NA,NA
"KOR",1996,3,7.75420336269015,2.57726180944756,NA,NA,1.47157726180945,6.38270616493195,2.71817453963171
"KOR",2001,4,7.85416666666667,2.63666666666667,NA,NA,NA,3.43083333333333,NA
"KOR",2005,5,7.38,2.57583333333333,NA,6.43333333333333,NA,NA,NA
"KOR",2010,6,7.41666666666667,2.5475,NA,5.93833333333333,NA,NA,NA
"KOR",2018,7,5.73092369477912,2.52289156626506,NA,6.88353413654619,NA,NA,NA
"KWT",2014,6,6.75748273215656,1.97851112816577,NA,NA,NA,NA,NA
"LBN",2013,6,6.34666666666667,2.30083333333333,NA,5.59916666666667,NA,NA,NA
"LBN",2018,7,6.22833333333333,3.05083333333333,NA,4.25916666666667,NA,NA,NA
