"iso3","year","cow_code","country_name","variable","regime"
"GNQ",1881,411,"Equatorial Guinea","v2x_regime_amb_interpol",0
"GRC",1881,350,"Greece","v2x_regime_amb_interpol",0
"GTM",1881,90,"Guatemala","v2x_regime_amb_interpol",0
"GUY",1881,110,"Guyana","v2x_regime_amb_interpol",0
"HND",1881,91,"Honduras","v2x_regime_amb_interpol",0
"HRV",1881,344,"Croatia","v2x_regime_amb_interpol",0
"HTI",1881,41,"Haiti","v2x_regime_amb_interpol",0
"HUN",1881,310,"Hungary","v2x_regime_amb_interpol",0
"IDN",1881,850,"Indonesia","v2x_regime_amb_interpol",0
"IND",1881,750,"India","v2x_regime_amb_interpol",0
"IRL",1881,205,"Ireland","v2x_regime_amb_interpol",4
"IRN",1881,630,"Iran","v2x_regime_amb_interpol",0
"IRQ",1881,645,"Iraq","v2x_regime_amb_interpol",0
"ISR",1881,666,"Israel","v2x_regime_amb_interpol",0
"ITA",1881,325,"Italy","v2x_regime_amb_interpol",3
"JAM",1881,51,"Jamaica","v2x_regime_amb_interpol",0
"JOR",1881,663,"Jordan","v2x_regime_amb_interpol",0
"JPN",1881,740,"Japan","v2x_regime_amb_interpol",0
"KAZ",1881,705,"Kazakhstan","v2x_regime_amb_interpol",0
"KEN",1881,501,"Kenya","v2x_regime_amb_interpol",0
"KGZ",1881,703,"Kyrgyzstan","v2x_regime_amb_interpol",0
"KHM",1881,811,"Cambodia","v2x_regime_amb_interpol",0
"KOR",1881,732,"South Korea","v2x_regime_amb_interpol",0
"KWT",1881,690,"Kuwait","v2x_regime_amb_interpol",0
"LAO",1881,812,"Laos","v2x_regime_amb_interpol",0
"LBN",1881,660,"Lebanon","v2x_regime_amb_interpol",0
"LBR",1881,450,"Liberia","v2x_regime_amb_interpol",0
"LBY",1881,620,"Libya","v2x_regime_amb_interpol",0
"LKA",1881,780,"Sri Lanka","v2x_regime_amb_interpol",0
"LSO",1881,570,"Lesotho","v2x_regime_amb_interpol",0
"LTU",1881,368,"Lithuania","v2x_regime_amb_interpol",0
"LUX",1881,212,"Luxembourg","v2x_regime_amb_interpol",3
