"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2009","2009","USD","US Dollar","0","Units",,,7045.089,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2010","2010","USD","US Dollar","0","Units",,,7085.13,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1990","1990","USD","US Dollar","0","Units",,,1782.498,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1991","1991","USD","US Dollar","0","Units",,,1759.086,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1992","1992","USD","US Dollar","0","Units",,,1820.781,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1993","1993","USD","US Dollar","0","Units",,,1895.41,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1994","1994","USD","US Dollar","0","Units",,,2001.535,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1995","1995","USD","US Dollar","0","Units",,,2208.387,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1996","1996","USD","US Dollar","0","Units",,,2344.213,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1997","1997","USD","US Dollar","0","Units",,,2477.987,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1998","1998","USD","US Dollar","0","Units",,,2552.117,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1999","1999","USD","US Dollar","0","Units",,,2725.075,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2000","2000","USD","US Dollar","0","Units",,,2894.48,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2001","2001","USD","US Dollar","0","Units",,,3139.305,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2002","2002","USD","US Dollar","0","Units",,,3383.725,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2003","2003","USD","US Dollar","0","Units",,,3642.511,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2004","2004","USD","US Dollar","0","Units",,,3729.109,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2005","2005","USD","US Dollar","0","Units",,,3959.445,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2006","2006","USD","US Dollar","0","Units",,,4206.312,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2007","2007","USD","US Dollar","0","Units",,,4565.91,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2008","2008","USD","US Dollar","0","Units",,,4935.319,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2009","2009","USD","US Dollar","0","Units",,,5526.246,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2010","2010","USD","US Dollar","0","Units",,,5439.749,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1987","1987","USD","US Dollar","0","Units",,,3286.619,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1988","1988","USD","US Dollar","0","Units",,,3565.602,,
