iso3c,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FJI,NA,NA,NA,NA,NA,NA,NA,NA,14.3335223248844,NA,NA,NA,NA,37.110950527868596,NA,NA,NA,NA,NA,NA
FRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,22.295390404515498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,NA,NA,NA,NA,NA,51.83428286117629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.6534226351111,NA,NA,NA,NA,64.2690441523421,NA,NA,NA
GHA,NA,NA,NA,NA,NA,5.67780479534459,NA,NA,NA,NA,NA,NA,63.67291211577201,NA,NA,NA,56.56182670508649,NA,NA,NA
GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8932226303145994,NA,NA,NA,NA,NA,NA,NA
GMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.307040459986752,NA,NA,NA,NA,2.9545778548145303,NA,NA,NA,NA
