"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1991","1991","USD","US Dollar","0","Units",,,4956.197,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1992","1992","USD","US Dollar","0","Units",,,4925.598,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1993","1993","USD","US Dollar","0","Units",,,5189.859,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1994","1994","USD","US Dollar","0","Units",,,5326.85,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1995","1995","USD","US Dollar","0","Units",,,5669.399,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1996","1996","USD","US Dollar","0","Units",,,5888.159,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1997","1997","USD","US Dollar","0","Units",,,5914.404,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1998","1998","USD","US Dollar","0","Units",,,6074.712,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1999","1999","USD","US Dollar","0","Units",,,6291.813,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2000","2000","USD","US Dollar","0","Units",,,6574.676,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2001","2001","USD","US Dollar","0","Units",,,6946.627,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2002","2002","USD","US Dollar","0","Units",,,7419.726,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2003","2003","USD","US Dollar","0","Units",,,7925.654,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2004","2004","USD","US Dollar","0","Units",,,8150.999,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2005","2005","USD","US Dollar","0","Units",,,8397.352,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2006","2006","USD","US Dollar","0","Units",,,8887.86,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2007","2007","USD","US Dollar","0","Units",,,9181.958,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2008","2008","USD","US Dollar","0","Units",,,10026.206,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2009","2009","USD","US Dollar","0","Units",,,10867.904,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2010","2010","USD","US Dollar","0","Units",,,11341.023,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2011","2011","USD","US Dollar","0","Units",,,11829.962,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2012","2012","USD","US Dollar","0","Units",,,12181.319,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2013","2013","USD","US Dollar","0","Units",,,12751.684,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2014","2014","USD","US Dollar","0","Units",,,13076.682,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2015","2015","USD","US Dollar","0","Units",,,13640.871,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2016","2016","USD","US Dollar","0","Units",,,14021.918,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2017","2017","USD","US Dollar","0","Units",,,14567.402,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1985","1985","USD","US Dollar","0","Units",,,2691.724,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1986","1986","USD","US Dollar","0","Units",,,2780.679,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1987","1987","USD","US Dollar","0","Units",,,2886.265,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1988","1988","USD","US Dollar","0","Units",,,3024.716,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1989","1989","USD","US Dollar","0","Units",,,3214.659,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1990","1990","USD","US Dollar","0","Units",,,3535.491,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1991","1991","USD","US Dollar","0","Units",,,4005.657,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1992","1992","USD","US Dollar","0","Units",,,4239.087,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1993","1993","USD","US Dollar","0","Units",,,4408.992,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1994","1994","USD","US Dollar","0","Units",,,4384.58,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1995","1995","USD","US Dollar","0","Units",,,4321.291,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1996","1996","USD","US Dollar","0","Units",,,4258.915,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1997","1997","USD","US Dollar","0","Units",,,4308.327,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1998","1998","USD","US Dollar","0","Units",,,4531.899,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1999","1999","USD","US Dollar","0","Units",,,4515.295,,
