mod_b,mod_se,mod_var,mod_imputed,ri_cyear,ri_country,estimation,control_gdp,control_gini,control_socx,control_fb,i_level_control,gdp_m_interaction,count,incdiff_grand_mean,incdiff_within_cyear,pref_mods
-0.0945383962658772,0.00287579198297041,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,Yes,Yes,No,78,Yes,No,0
-0.0945404346356359,0.002875741448326245,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,Yes,No,No,Yes,No,79,Yes,No,0
-0.09454308426026929,0.0028757071892168916,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,No,Yes,No,80,Yes,No,0
-0.09455844978794269,0.002875706356232995,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,Yes,No,Yes,No,81,Yes,No,0
-0.09462896384310994,0.0028754938233727005,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,Yes,No,Yes,No,82,Yes,No,0
-0.09471677060582162,0.0028782610201748505,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,Yes,No,Yes,No,83,No,Yes,0
-0.09471904027385387,0.0028782624151596314,A2_Corruption_percept,Yes,Yes,No,GLM,No,Yes,No,No,Yes,No,84,No,Yes,0
-0.09472008436769813,0.0028782630041168608,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,Yes,Yes,No,85,No,Yes,0
-0.09472079982719354,0.0028782622209993724,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,No,Yes,No,86,No,Yes,0
-0.09472117809763987,0.0028782632970290795,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,Yes,No,87,No,Yes,0
-0.09472814537164244,0.002878261485983846,A2_Corruption_percept,Yes,Yes,Yes,GLM,Yes,No,No,No,Yes,No,88,No,Yes,0
-0.09472897494616633,0.002878260680808306,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,Yes,Yes,No,89,No,Yes,0
-0.0947300906681259,0.0028782589709127233,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,Yes,No,Yes,No,90,No,Yes,0
-0.09473445978397345,0.002878258987256189,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,No,Yes,No,91,No,Yes,0
-0.0947373305784352,0.002878257939314885,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,Yes,No,No,Yes,No,92,No,Yes,0
-0.09521781262588995,0.0027205174128244283,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,Yes,No,No,93,Yes,No,0
-0.095225452573566155,0.0027205110288317743,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,No,No,94,Yes,No,0
-0.09522581512064351,0.002720716094753092,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,Yes,No,No,No,No,95,Yes,No,0
-0.0952311601497218,0.0027205193056075707,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,No,No,No,96,Yes,No,0
-0.09523579397470226,0.0027207185999265746,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,No,No,No,97,Yes,No,0
-0.09524212996287669,0.0027208119851258447,A2_Corruption_percept,Yes,Yes,Yes,GLM,Yes,No,No,No,No,No,98,Yes,No,0
-0.09524320952033272,0.0027207618597643065,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,Yes,No,No,No,99,Yes,No,0
-0.09524898699800274,0.002720771451061732,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,Yes,No,No,100,Yes,No,0
-0.0952766836222977,0.0027206781416648784,A2_Corruption_percept,Yes,Yes,No,GLM,No,Yes,No,No,No,No,101,Yes,No,0
-0.09539381423561173,0.002720782917591764,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,Yes,No,No,No,102,Yes,No,0
-0.09542653555217698,0.002723106052041684,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,No,No,103,No,Yes,0
-0.095426535552177,0.0027231059508325776,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,Yes,No,No,No,104,No,Yes,0
-0.09542653555217702,0.0027231047234727674,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,No,No,No,105,No,Yes,0
-0.09542653555217705,0.0027231047658483123,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,Yes,No,No,No,106,No,Yes,0
-0.09542653555217705,0.002723104567777864,A2_Corruption_percept,Yes,Yes,Yes,GLM,Yes,No,No,No,No,No,107,No,Yes,0
-0.09542653555217705,0.002723104579334789,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,No,No,Yes,No,No,108,No,Yes,0
-0.09542653555217705,0.002723106046147154,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,Yes,No,No,109,No,Yes,0
-0.09542653555217706,0.002723106052774236,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,No,No,No,110,No,Yes,0
-0.09542653555217706,0.00272310410277967,A2_Corruption_percept,Yes,Yes,Yes,GLM,No,Yes,No,No,No,No,111,No,Yes,0
-0.09542653555217706,0.002723106128689216,A2_Corruption_percept,Yes,Yes,No,GLM,No,Yes,No,No,No,No,112,No,Yes,0
-0.03447507322389428,0.0017641801297535906,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,Yes,Yes,113,Yes,No,0
-0.0344930271106997,0.001764158473160362,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,114,Yes,No,0
-0.03449789664122335,0.0017642408306755598,B_No_confidence,Yes,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,115,Yes,No,0
-0.034563074450826785,0.0017642100405931217,B_No_confidence,Yes,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,116,Yes,No,0
-0.034613567066775854,0.0017655828922856004,B_No_confidence,Yes,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,117,No,Yes,0
-0.03461413794366295,0.0017655832695155974,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,Yes,Yes,118,No,Yes,0
-0.0346141413118592,0.0017655832760741768,B_No_confidence,Yes,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,119,No,Yes,0
-0.03461467086425674,0.001765583313446237,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,120,No,Yes,0
-0.03563476747085145,0.0017466953918793215,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,No,Yes,121,Yes,No,0
-0.03565224256069041,0.001746643165294133,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,Yes,No,Yes,122,Yes,No,0
-0.03565261715392132,0.001746768762117253,B_No_confidence,Yes,Yes,No,GLM,Yes,Yes,No,No,No,Yes,123,Yes,No,0
-0.0357157472503856,0.0017467787191897876,B_No_confidence,Yes,Yes,No,GLM,Yes,No,Yes,No,No,Yes,124,Yes,No,0
-0.03576509766734617,0.0017480724810400835,B_No_confidence,Yes,Yes,No,GLM,Yes,No,Yes,No,No,Yes,125,No,Yes,0
-0.03576509766734619,0.0017480724840907304,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,No,Yes,126,No,Yes,0
-0.03576509766734619,0.0017480724180189591,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,Yes,No,Yes,127,No,Yes,0
-0.035765097667346195,0.0017480724926401804,B_No_confidence,Yes,Yes,No,GLM,Yes,Yes,No,No,No,Yes,128,No,Yes,0
-0.03667491471599788,0.0019731728497073145,B_No_confidence,No,Yes,No,GLM,Yes,No,No,No,Yes,Yes,129,Yes,No,0
-0.03669207273435934,0.0019731795161662125,B_No_confidence,No,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,130,Yes,No,0
-0.0366965757573927,0.0019731587271566028,B_No_confidence,No,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,131,Yes,No,0
-0.03674196243662587,0.0019730931246294296,B_No_confidence,No,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,132,Yes,No,0
-0.036796369847983144,0.001974235323075131,B_No_confidence,No,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,133,No,Yes,0
-0.03679665592248693,0.001974235830094245,B_No_confidence,No,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,134,No,Yes,0
-0.036796936776760956,0.0019742357956824045,B_No_confidence,No,Yes,No,GLM,Yes,No,No,No,Yes,Yes,135,No,Yes,0
-0.036797700637137595,0.0019742357369365486,B_No_confidence,No,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,136,No,Yes,0
-0.03894433972110406,0.0019623316322447204,B_No_confidence,No,Yes,No,GLM,Yes,No,No,No,No,Yes,137,Yes,No,0
-0.03896041147154556,0.0019623510788638926,B_No_confidence,No,Yes,No,GLM,Yes,Yes,No,No,No,Yes,138,Yes,No,0
-0.03896466727056344,0.001962305067883323,B_No_confidence,No,Yes,No,GLM,Yes,No,No,Yes,No,Yes,139,Yes,No,0
-0.03901100313307701,0.00196227824998866,B_No_confidence,No,Yes,No,GLM,Yes,No,Yes,No,No,Yes,140,Yes,No,0
-0.03905965098710602,0.0019633560536703037,B_No_confidence,No,Yes,No,GLM,Yes,No,No,No,No,Yes,141,No,Yes,0
-0.03905965098710602,0.0019633559689710774,B_No_confidence,No,Yes,No,GLM,Yes,No,No,Yes,No,Yes,142,No,Yes,0
